"Export for HP:0000118"
"Gene","Associated diseases"
"ABCC9 (10060)","ATRIAL FIBRILLATION, FAMILIAL, 12 (OMIM:614050), CARDIOMYOPATHY, DILATED, 1O (OMIM:608569), HYPERTRICHOTIC OSTEOCHONDRODYSPLASIA (OMIM:239850)"
"MRPS16 (51021)","COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:610498)"
"MNDEC (100188855)","MICROTIA - EYE COLOBOMA - IMPERFORATION ... (OMIM:611863)"
"PAM16 (51025)","SPONDYLOMETAPHYSEAL DYSPLASIA, MEGARBANE... (OMIM:613320)"
"E11S (1878)","ECHO VIRUS 11 SENSITIVITY (OMIM:129150)"
"AUTS1 (100188832)","AUTISM (OMIM:209850)"
"EBM (1881)","BULLOUS DYSTROPHY, HEREDITARY MACULAR TY... (OMIM:302000)"
"HUWE1 (10075)","MENTAL RETARDATION, X-LINKED, SYNDROMIC,... (OMIM:300706)"
"EBR3 (1884)","EPIDERMOLYSIS BULLOSA DYSTROPHICA NEUROT... (OMIM:226500)"
"ECE1 (1889)","HIRSCHSPRUNG DISEASE, CARDIAC DEFECTS, A... (OMIM:613870)"
"GPC6 (10082)","OMODYSPLASIA 1 (OMIM:258315)"
"TYMP (1890)","MITOCHONDRIAL DNA DEPLETION SYNDROME 1 (... (OMIM:603041)"
"USH1C (10083)","USHER SYNDROME, TYPE IC (OMIM:276904), DEAFNESS, NEUROSENSORY, AUTOSOMAL RECESS... (OMIM:602092)"
"FAM58A (92002)","SYNDACTYLY - TELECANTHUS - ANOGENITAL AN... (OMIM:300707)"
"PQBP1 (10084)","RENPENNING SYNDROME 1 (OMIM:309500)"
"ECHS1 (1892)","MITOCHONDRIAL SHORT-CHAIN ENOYL-COA HYDR... (OMIM:616277)"
"ECM1 (1893)","LIPOID PROTEINOSIS OF URBACH AND WIETHE (OMIM:247100)"
"COL4A3BP (10087)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 3... (OMIM:616351)"
"EDA (1896)","ECTODERMAL DYSPLASIA 1, HYPOHIDROTIC, X-... (OMIM:305100), TOOTH AGENESIS, SELECTIVE, X-LINKED, 1 (OMIM:313500)"
"WDPCP (51057)","CONGENITAL HEART DEFECTS, HAMARTOMAS OF ... (OMIM:217085)"
"EDN1 (1906)","AURICULOCONDYLAR SYNDROME 3 (OMIM:615706), QUESTION MARK EARS, ISOLATED (OMIM:612798)"
"STUT1 (100049541)","STUTTERING, FAMILIAL PERSISTENT, 1 (OMIM:184450)"
"EDN3 (1908)","WAARDENBURG SYNDROME, TYPE 4B (OMIM:613265), CENTRAL HYPOVENTILATION SYNDROME, CONGEN... (OMIM:209880)"
"EDNRA (1909)","MANDIBULOFACIAL DYSOSTOSIS WITH ALOPECIA (OMIM:616367)"
"ATL1 (51062)","SPASTIC PARAPLEGIA 3, AUTOSOMAL DOMINANT (OMIM:182600), NEUROPATHY, HEREDITARY SENSORY, TYPE ID (OMIM:613708)"
"EDNRB (1910)","WAARDENBURG-SHAH SYNDROME (OMIM:277580), ABCD SYNDROME (OMIM:600501)"
"TSFM (10102)","COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:610505)"
"PHC1 (1911)","MICROCEPHALY 11, PRIMARY, AUTOSOMAL RECE... (OMIM:615414)"
"EEC1 (1913)","ECTRODACTYLY, ECTODERMAL DYSPLASIA, AND ... (OMIM:129900)"
"YARS2 (51067)","MYOPATHY, LACTIC ACIDOSIS, AND SIDEROBLA... (OMIM:613561)"
"EEF1A2 (1917)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 3... (OMIM:616393), EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:616409)"
"STBMS1 (100188805)","STRABISMUS, SUSCEPTIBILITY TOSTRABISMUS,... (OMIM:185100)"
"APMR2 (100049544)","ALOPECIA-MENTAL RETARDATION SYNDROME 2 (OMIM:610422)"
"RAD50 (10111)","NIJMEGEN BREAKAGE SYNDROME-LIKE DISORDER (OMIM:613078)"
"ESCO2 (157570)","ROBERTS SYNDROME (OMIM:268300), SC PHOCOMELIA SYNDROME (OMIM:269000)"
"GEFSP4 (100188796)","GENERALIZED EPILEPSY WITH FEBRILE SEIZUR... (OMIM:609800)"
"ENAM (10117)","AMELOGENESIS IMPERFECTA, TYPE IB (OMIM:104500), AMELOGENESIS IMPERFECTA, TYPE IC (OMIM:204650)"
"EMWX (10118)","EPISODIC MUSCLE WEAKNESS, X-LINKED (OMIM:300211)"
"SLC17A5 (26503)","SIALURIA, FINNISH TYPE (OMIM:604369), INFANTILE SIALIC ACID STORAGE DISORDER (OMIM:269920)"
"AFA1 (100188784)","ALOPECIA, ANDROGENETIC, 1 (OMIM:109200)"
"CNNM4 (26504)","JALILI SYNDROME (OMIM:217080)"
"POLR1D (51082)","TREACHER COLLINS SYNDROME 2 (OMIM:613717)"
"GAL (51083)","EPILEPSY, FAMILIAL TEMPORAL LOBE, 8 (OMIM:616461)"
"WM1 (100188787)","MACROGLOBULINEMIA, WALDENSTROM, SUSCEPTI... (OMIM:153600)"
"DNAL4 (10126)","MIRROR MOVEMENTS 3 (OMIM:616059)"
"TNNI3K (51086)","CARDIAC CONDUCTION DISEASE WITH OR WITHO... (OMIM:616117)"
"LRPPRC (10128)","LEIGH SYNDROME, FRENCH CANADIAN TYPE (OMIM:220111)"
"HEY (100188776)","HAIRY EARS, Y-LINKED (OMIM:425500)"
"EYS (346007)","RETINITIS PIGMENTOSA 25 (OMIM:602772)"
"EEF2 (1938)","SPINOCEREBELLAR ATAXIA 26 (OMIM:609306)"
"SEPSECS (51091)","PONTOCEREBELLAR HYPOPLASIA, TYPE 2D (OMIM:613811)"
"EEGV1 (1940)","ELECTROENCEPHALOGRAM, LOW-VOLTAGE (OMIM:130180)"
"RSPH3 (83861)","CILIARY DYSKINESIA, PRIMARY, 32 (OMIM:616481)"
"OPTN (10133)","AMYOTROPHIC LATERAL SCLEROSIS 12 (OMIM:613435), GLAUCOMA, PRIMARY OPEN ANGLE (OMIM:137760)"
"BCAP31 (10134)","DEAFNESS, DYSTONIA, AND CEREBRAL HYPOMYE... (OMIM:300475)"
"TRNT1 (51095)","SIDEROBLASTIC ANEMIA WITH B-CELL IMMUNOD... (OMIM:616084)"
"SCAX5 (100188768)","SPINOCEREBELLAR ATAXIA, X-LINKED 5 (OMIM:300703)"
"ABHD5 (51099)","CHANARIN-DORFMAN SYNDROME (OMIM:275630)"
"EFNB1 (1947)","CRANIOFRONTONASAL SYNDROME (OMIM:304110)"
"IL36RN (26525)","PSORIASIS 14, PUSTULAR (OMIM:614204)"
"CFSS (100188773)","CRANIOFACIOSKELETAL SYNDROME (OMIM:300712)"
"DFCTRPS (100188774)","DEAFNESS, CATARACT, RETINITIS PIGMENTOSA... (OMIM:300719)"
"AKAP9 (10142)","LONG QT SYNDROME 11 (OMIM:611820)"
"EGF (1950)","HYPOMAGNESEMIA 4, RENAL (OMIM:611718)"
"NDUFAF1 (51103)","MITOCHONDRIAL COMPLEX I DEFICIENCY (OMIM:252010)"
"LOAS (100188775)","LEBER OPTIC ATROPHY, SUSCEPTIBILITY TO (OMIM:308905)"
"MEGF8 (1954)","CARPENTER SYNDROME 2 (OMIM:614976)"
"EGFR (1956)","LUNG CANCERALVEOLAR CELL CARCINOMA, INCL... (OMIM:211980), INFLAMMATORY SKIN AND BOWEL DISEASE, NEO... (OMIM:616069)"
"EGI (1957)","EPILEPSY, IDIOPATHIC GENERALIZED (OMIM:600669)"
"CFTDX (100188765)","MYOPATHY, CONGENITAL, WITH FIBER-TYPE DI... (OMIM:300580)"
"RDH11 (51109)","RETINAL DYSTROPHY, JUVENILE CATARACTS, A... (OMIM:616108)"
"AGSPX (100188767)","ANGIOMA SERPIGINOSUM, X-LINKED (OMIM:300652)"
"EGR2 (1959)","NEUROPATHY, CONGENITAL HYPOMYELINATING (OMIM:605253), CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATI... (OMIM:607678), HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTT... (OMIM:145900)"
"ZDHHC9 (51114)","MENTAL RETARDATION, X-LINKED, SYNDROMIC,... (OMIM:300799)"
"EHHADH (1962)","FANCONI RENOTUBULAR SYNDROME 3 (OMIM:615605)"
"COQ4 (51117)","COENZYME Q10 DEFICIENCY, PRIMARY, 7 (OMIM:616276)"
"AASS (10157)","HYPERLYSINEMIA, TYPE I (OMIM:238700), SACCHAROPINURIA (OMIM:268700)"
"ATP6AP2 (10159)","MENTAL RETARDATION, X-LINKED, SYNDROMIC,... (OMIM:300423), PARKINSONISM WITH SPASTICITY, X-LINKED (OMIM:300911)"
"SBDS (51119)","SHWACHMAN-DIAMOND SYNDROME (OMIM:260400)"
"FAME4 (101409188)","EPILEPSY, FAMILIAL ADULT MYOCLONIC, 4 (OMIM:615127)"
"EIF2B1 (1967)","LEUKOENCEPHALOPATHY WITH VANISHING WHITE... (OMIM:603896)"
"EPHA2 (1969)","CATARACT, POSTERIOR POLAR, 1 (OMIM:116600)"
"LPAR6 (10161)","HYPOTRICHOSIS 8 (OMIM:278150)"
"IER3IP1 (51124)","MICROCEPHALY, EPILEPSY, AND DIABETES SYN... (OMIM:614231)"
"SPATA16 (83893)","GLOBOZOOSPERMIA (OMIM:102530)"
"SLC25A13 (10165)","CITRULLINEMIA, TYPE II, ADULT-ONSET (OMIM:603471), CITRULLINEMIA, TYPE II, NEONATAL-ONSET (OMIM:605814)"
"SLC25A15 (10166)","HYPERORNITHINEMIA-HYPERAMMONEMIA-HOMOCIT... (OMIM:238970)"
"CFM1 (10167)","CYSTIC FIBROSIS, MODIFIER OF, 1 (OMIM:603855)"
"SAR1B (51128)","CHYLOMICRON RETENTION DISEASE (OMIM:246700)"
"SYT14 (255928)","SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESS... (OMIM:614229)"
"CEP83 (51134)","NEPHRONOPHTHISIS 18 (OMIM:615862)"
"IRAK4 (51135)","INVASIVE PNEUMOCOCCAL DISEASE, RECURRENT... (OMIM:610799), IMMUNODEFICIENCY DUE TO INTERLEUKIN-1 RE... (OMIM:607676)"
"GER (59330)","GASTROESOPHAGEAL REFLUX (OMIM:109350)"
"RFH1 (59331)","RENAL FAILURE, PROGRESSIVE, WITH HYPERTE... (OMIM:161900)"
"VSPA (59332)","SPATIAL VISUALIZATION, APTITUDE FOR (OMIM:313000)"
"ELANE (1991)","NEUTROPENIA, SEVERE CONGENITAL, 1, AUTOS... (OMIM:202700), CYCLIC HEMATOPOIESIS (OMIM:162800)"
"TRPV4 (59341)","HEREDITARY MOTOR AND SENSORY NEUROPATHY,... (OMIM:606071), SPONDYLOEPIPHYSEAL DYSPLASIA, MAROTEAUX ... (OMIM:184095), METATROPIC DYSPLASIA (OMIM:156530), SPINAL MUSCULAR ATROPHY, DISTAL, CONGENI... (OMIM:600175), DIGITAL ARTHROPATHY-BRACHYDACTYLY, FAMIL... (OMIM:606835), SCAPULOPERONEAL SPINAL MUSCULAR ATROPHY (OMIM:181405), BRACHYOLMIA TYPE 3 (OMIM:113500), PARASTREMMATIC DWARFISM (OMIM:168400), SPONDYLOMETAPHYSEAL DYSPLASIA, KOZLOWSKI... (OMIM:184252)"
"SLC45A2 (51151)","ALBINISM, OCULOCUTANEOUS, TYPE IV (OMIM:606574)"
"ALOXE3 (59344)","ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESS... (OMIM:606545)"
"GNB4 (59345)","CHARCOT-MARIE-TOOTH DISEASE, DOMINANT IN... (OMIM:615185)"
"ELK1 (2002)","ELK1, MEMBER OF ETS ONCOGENE FAMILY (OMIM:311040)"
"TSHZ1 (10194)","AURAL ATRESIA, CONGENITAL (OMIM:607842)"
"ALG3 (10195)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:601110)"
"BSCL2 (26580)","NEURONOPATHY, DISTAL HEREDITARY MOTOR, T... (OMIM:600794), ENCEPHALOPATHY, PROGRESSIVE, WITH OR WIT... (OMIM:615924), SPASTIC PARAPLEGIA 17 (OMIM:270685), LIPODYSTROPHY, CONGENITAL GENERALIZED, T... (OMIM:269700)"
"ALPQTL1 (100196909)","ALKALINE PHOSPHATASE, PLASMA LEVEL OF, Q... (OMIM:171720)"
"ELN (2006)","CUTIS LAXA, AUTOSOMAL DOMINANT 1 (OMIM:123700), SUPRAVALVULAR AORTIC STENOSIS (OMIM:185500)"
"POROK2 (100196910)","POROKERATOSIS PLANTARIS, PALMARIS, ET DI... (OMIM:175850)"
"CLDN19 (149461)","HYPOMAGNESEMIA 5, RENAL, WITH OCULAR INV... (OMIM:248190)"
"POROK6 (100196911)","POROKERATOSIS 6, DISSEMINATED SUPERFICIA... (OMIM:612353)"
"EMD (2010)","EMERY-DREIFUSS MUSCULAR DYSTROPHY, X-LIN... (OMIM:310300)"
"C8ORF37 (157657)","CONE-ROD DYSTROPHY 16 (OMIM:614500)"
"SPRTN (83932)","RUIJS-AALFS SYNDROME (OMIM:616200)"
"EMP2 (2013)","FAMILIAL IDIOPATHIC STEROID-RESISTANT NE... (OMIM:615861)"
"BULN (337893)","BULIMIA NERVOSA, SUSCEPTIBILITY TO, 1 (OMIM:607499)"
"MYO15A (51168)","DEAFNESS, NEUROSENSORY, AUTOSOMAL RECESS... (OMIM:600316)"
"MGR3 (337892)","MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIB... (OMIM:607498)"
"EMX2 (2018)","SCHIZENCEPHALY (OMIM:269160)"
"TOPORS (10210)","RETINITIS PIGMENTOSA 31 (OMIM:609923)"
"C10ORF11 (83938)","ALBINISM, OCULOCUTANEOUS, TYPE V (OMIM:615179)"
"ENG (2022)","TELANGIECTASIA, HEREDITARY HEMORRHAGIC, ... (OMIM:187300)"
"PRG4 (10216)","CAMPTODACTYLY-ARTHROPATHY-COXA VARA-PERI... (OMIM:208250)"
"ENO3 (2027)","GLYCOGEN STORAGE DISEASE XIII (OMIM:612932)"
"ENUR1 (2031)","ENURESIS, NOCTURNAL, 1 (OMIM:600631)"
"ENUR2 (2032)","ENURESIS, NOCTURNAL, 2 (OMIM:600808)"
"EP300 (2033)","RUBINSTEIN-TAYBI SYNDROME 2 (OMIM:613684), COLORECTAL CANCER (OMIM:114500)"
"CRBN (51185)","MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:607417)"
"CD96 (10225)","C SYNDROME (OMIM:211750)"
"ELP4 (26610)","ANIRIDIA (OMIM:106210)"
"EPAS1 (2034)","ERYTHROCYTOSIS, FAMILIAL, 4 (OMIM:611783)"
"VPS13B (157680)","COHEN SYNDROME (OMIM:216550)"
"EPB41 (2035)","ELLIPTOCYTOSIS 1 (OMIM:611804)"
"EPB41L1 (2036)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 1... (OMIM:614257)"
"SLC4A11 (83959)","CORNEAL ENDOTHELIAL DYSTROPHY 2 (OMIM:217700), CORNEAL DYSTROPHY, FUCHS ENDOTHELIAL, 4 (OMIM:613268), CORNEAL DYSTROPHY AND PERCEPTIVE DEAFNES... (OMIM:217400)"
"EPB42 (2038)","SPHEROCYTOSIS, TYPE 5 (OMIM:612690)"
"CORD17 (101409267)","CONE-ROD DYSTROPHY 17 (OMIM:615163)"
"STOM (2040)","STOMATOCYTOSIS I (OMIM:185000)"
"MRT35 (101409266)","MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:615162)"
"RASGRP2 (10235)","BLEEDING DISORDER, PLATELET-TYPE, 18 (OMIM:615888)"
"PLCE1 (51196)","NEPHROTIC SYNDROME, TYPE 3 (OMIM:610725)"
"NIN (51199)","SECKEL SYNDROME 7 (OMIM:614851)"
"NHLRC1 (378884)","MYOCLONIC EPILEPSY OF LAFORA (OMIM:254780)"
"GPHN (10243)","MOLYBDENUM COFACTOR DEFICIENCY, COMPLEME... (OMIM:615501)"
"OTSC10 (102723100)","OTOSCLEROSIS 10 (OMIM:615589)"
"EPHX1 (2052)","HYPERCHOLANEMIA, FAMILIAL (OMIM:607748), EPOXIDE HYDROLASE 1, MICROSOMAL (OMIM:132810)"
"TACO1 (51204)","MITOCHONDRIAL COMPLEX IV DEFICIENCY (OMIM:220110)"
"EPHX2 (2053)","HYPERCHOLESTEROLEMIA, FAMILIAL (OMIM:143890)"
"GP6 (51206)","BLEEDING DISORDER, PLATELET-TYPE, 11 (OMIM:614201)"
"CLN8 (2055)","CEROID LIPOFUSCINOSIS, NEURONAL, 8 (OMIM:600143), CEROID LIPOFUSCINOSIS, NEURONAL, 8, NORT... (OMIM:610003)"
"EPS8 (2059)","DEAFNESS, AUTOSOMAL RECESSIVE 102 (OMIM:615974)"
"HSN1B (378888)","NEUROPATHY, HEREDITARY SENSORY AND AUTON... (OMIM:608088)"
"ERBB2 (2064)","LUNG CANCERALVEOLAR CELL CARCINOMA, INCL... (OMIM:211980), GASTRIC CANCERGASTRIC CANCER, INTESTINAL... (OMIM:613659), GLIOMA SUSCEPTIBILITY 1 (OMIM:137800)"
"ERBB3 (2065)","LETHAL CONGENITAL CONTRACTURE SYNDROME 2 (OMIM:607598)"
"GLRX5 (51218)","ANEMIA, CONGENITAL SIDEROBLASTIC, B6-NON... (OMIM:205950)"
"CCDC8 (83987)","THREE M SYNDROME 3 (OMIM:614205)"
"ERBB4 (2066)","AMYOTROPHIC LATERAL SCLEROSIS 19 (OMIM:615515)"
"ERCC1 (2067)","CEREBROOCULOFACIOSKELETAL SYNDROME 4 (OMIM:610758)"
"ERCC2 (2068)","XERODERMA PIGMENTOSUM, COMPLEMENTATION G... (OMIM:278730), TRICHOTHIODYSTROPHY, PHOTOSENSITIVE (OMIM:601675), CEREBROOCULOFACIOSKELETAL SYNDROME 2 (OMIM:610756)"
"EYA4 (2070)","DEAFNESS, AUTOSOMAL DOMINANT NONSYNDROMI... (OMIM:601316), CARDIOMYOPATHY, DILATED, 1J (OMIM:605362)"
"SF3B4 (10262)","ACROFACIAL DYSOSTOSIS 1, NAGER TYPE (OMIM:154400)"
"BRIP1 (83990)","BREAST CANCER (OMIM:114480), FANCONI ANEMIA, COMPLEMENTATION GROUP J (OMIM:609054)"
"ERCC3 (2071)","XERODERMA PIGMENTOSUM, COMPLEMENTATION G... (OMIM:610651), TRICHOTHIODYSTROPHY 2, PHOTOSENSITIVE (OMIM:616390)"
"ERCC4 (2072)","XERODERMA PIGMENTOSUM, COMPLEMENTATION G... (OMIM:278760), XFE PROGEROID SYNDROME (OMIM:610965), FANCONI ANEMIA, COMPLEMENTATION GROUP Q (OMIM:615272)"
"ERCC5 (2073)","XERODERMA PIGMENTOSUM, COMPLEMENTATION G... (OMIM:278780)"
"IRX5 (10265)","HAMAMY SYNDROME (OMIM:611174)"
"ERCC6 (2074)","UV-SENSITIVE SYNDROME 1 (OMIM:600630), CEREBROOCULOFACIOSKELETAL SYNDROME 1 (OMIM:214150), COCKAYNE SYNDROME, TYPE B (OMIM:133540), LUNG CANCERALVEOLAR CELL CARCINOMA, INCL... (OMIM:211980), DE SANCTIS-CACCHIONE SYNDROME (OMIM:278800)"
"RNF168 (165918)","RIDDLE SYNDROME (OMIM:611943)"
"ZMPSTE24 (10269)","MANDIBULOACRAL DYSPLASIA WITH TYPE B LIP... (OMIM:608612), RESTRICTIVE DERMOPATHY, LETHAL (OMIM:275210)"
"ERF (2077)","CRANIOSYNOSTOSIS 4 (OMIM:600775)"
"STUB1 (10273)","SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESS... (OMIM:615768)"
"SIGMAR1 (10280)","AMYOTROPHIC LATERAL SCLEROSIS 16, JUVENI... (OMIM:614373)"
"SPEG (10290)","MYOPATHY, CENTRONUCLEAR, 5 (OMIM:615959)"
"CDHR1 (92211)","CONE-ROD DYSTROPHY 15 (OMIM:613660)"
"NT5C3A (51251)","URIDINE 5-PRIME MONOPHOSPHATE HYDROLASE ... (OMIM:266120)"
"ESR1 (2099)","BREAST CANCER (OMIM:114480), ESTROGEN RESISTANCE (OMIM:615363)"
"BCKDK (10295)","BRANCHED-CHAIN KETOACID DEHYDROGENASE KI... (OMIM:614923)"
"ESRRB (2103)","DEAFNESS, AUTOSOMAL RECESSIVE 35 (OMIM:608565)"
"TBC1D7 (51256)","MACROCEPHALY/MEGALENCEPHALY SYNDROME, AU... (OMIM:248000)"
"TMEM216 (51259)","JOUBERT SYNDROME 2 (OMIM:608091), MECKEL SYNDROME, TYPE 2 (OMIM:603194)"
"ETFA (2108)","MULTIPLE ACYL-COA DEHYDROGENASE DEFICIEN... (OMIM:231680)"
"KATNB1 (10300)","LISSENCEPHALY 6, WITH MICROCEPHALY (OMIM:616212)"
"ETFB (2109)","MULTIPLE ACYL-COA DEHYDROGENASE DEFICIEN... (OMIM:231680)"
"ETFDH (2110)","MULTIPLE ACYL-COA DEHYDROGENASE DEFICIEN... (OMIM:231680)"
"ZFP57 (346171)","DIABETES MELLITUS, TRANSIENT NEONATAL, 1 (OMIM:601410)"
"ETM2 (2112)","TREMOR, HEREDITARY ESSENTIAL, 2 (OMIM:602134)"
"MMDK (10305)","MESOMELIC DYSPLASIA, KANTAPUTRA TYPE (OMIM:156232)"
"DFNB38 (337991)","DEAFNESS, CONGENITAL NEUROSENSORY, AUTOS... (OMIM:608219)"
"ETV1 (2115)","ETS VARIANT GENE 1 (OMIM:600541)"
"WDR81 (124997)","CEREBELLAR ATAXIA, MENTAL RETARDATION, A... (OMIM:610185)"
"CCNO (10309)","CILIARY DYSKINESIA, PRIMARY, 29 (OMIM:615872)"
"TCIRG1 (10312)","OSTEOPETROSIS, AUTOSOMAL RECESSIVE 1 (OMIM:259700)"
"ETV6 (2120)","LEUKEMIA, ACUTE MYELOID (OMIM:601626), THROMBOCYTOPENIA 5 (OMIM:616216)"
"EVC (2121)","WEYERS ACROFACIAL DYSOSTOSIS (OMIM:193530), ELLIS-VAN CREVELD SYNDROME (OMIM:225500)"
"LAMC3 (10319)","CORTICAL MALFORMATIONS, OCCIPITAL (OMIM:614115)"
"EWSR1 (2130)","EWING SARCOMA (OMIM:612219)"
"EXT1 (2131)","EXOSTOSES, MULTIPLE, TYPE I (OMIM:133700), CHONDROSARCOMA (OMIM:215300)"
"EXT2 (2132)","EXOSTOSES, MULTIPLE, TYPE II (OMIM:133701)"
"KLHL41 (10324)","NEMALINE MYOPATHY 9 (OMIM:615731)"
"EXT3 (2133)","EXOSTOSES, MULTIPLE, TYPE III (OMIM:600209)"
"TMEM5 (10329)","MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:615041)"
"EYA1 (2138)","BRANCHIOOTIC SYNDROME 1 (OMIM:602588), BRANCHIOOTORENAL SYNDROME 1 (OMIM:113650), OTOFACIOCERVICAL SYNDROME (OMIM:166780)"
"ADGRV1 (84059)","FEBRILE CONVULSIONS, FAMILIAL, 4 (OMIM:604352), USHER SYNDROME, TYPE IIC (OMIM:605472)"
"MAGT1 (84061)","IMMUNODEFICIENCY, X-LINKED, WITH MAGNESI... (OMIM:300853)"
"CD320 (51293)","METHYLMALONIC ACIDURIA DUE TO TRANSCOBAL... (OMIM:613646)"
"DTNBP1 (84062)","HERMANSKY-PUDLAK SYNDROME 7 (OMIM:614076)"
"ANIB1 (116833)","ANEURYSM, INTRACRANIAL BERRY, 1 (OMIM:105800)"
"EZH2 (2146)","WEAVER SYNDROME (OMIM:277590)"
"F2 (2147)","THROMBOPHILIAVENOUS THROMBOEMBOLISM, INC... (OMIM:188050), PROTHROMBIN DEFICIENCY, CONGENITAL (OMIM:613679)"
"TFG (10342)","SPASTIC PARAPLEGIA 57, AUTOSOMAL RECESSI... (OMIM:615658), HEREDITARY MOTOR AND SENSORY NEUROPATHY,... (OMIM:604484)"
"F5 (2153)","THROMBOPHILIA DUE TO DEFICIENCY OF ACTIV... (OMIM:188055), FACTOR V DEFICIENCY (OMIM:227400)"
"KCNK9 (51305)","BIRK-BAREL MENTAL RETARDATION DYSMORPHIS... (OMIM:612292)"
"TRDN (10345)","VENTRICULAR TACHYCARDIA, CATECHOLAMINERG... (OMIM:615441)"
"F7 (2155)","FACTOR VII DEFICIENCY (OMIM:227500)"
"REEP2 (51308)","SPASTIC PARAPLEGIA 72, AUTOSOMAL RECESSI... (OMIM:615625)"
"F8 (2157)","HEMOPHILIA A (OMIM:306700)"
"F9 (2158)","THROMBOPHILIA, X-LINKED, DUE TO FACTOR I... (OMIM:300807), HEMOPHILIA B (OMIM:306900)"
"F10 (2159)","FACTOR X DEFICIENCY (OMIM:227600)"
"F11 (2160)","FACTOR XI DEFICIENCY (OMIM:612416)"
"F12 (2161)","FACTOR XII DEFICIENCY (OMIM:234000), ANGIOEDEMA, HEREDITARY, TYPE III (OMIM:610618)"
"F13A1 (2162)","FACTOR XIII, A SUBUNIT, DEFICIENCY OF (OMIM:613225)"
"NME8 (51314)","CILIARY DYSKINESIA, PRIMARY, 6 (OMIM:610852)"
"F13B (2165)","FACTOR XIII, B SUBUNIT, DEFICIENCY OF (OMIM:613235)"
"SPG21 (51324)","MAST SYNDROME (OMIM:248900)"
"DFNB40 (379003)","DEAFNESS, CONGENITAL NEUROSENSORY, AUTOS... (OMIM:608264)"
"MICU1 (10367)","MYOPATHY WITH EXTRAPYRAMIDAL SIGNS (OMIM:615673)"
"FANCA (2175)","FANCONI ANEMIA, COMPLEMENTATION GROUP A (OMIM:227650)"
"FANCC (2176)","FANCONI ANEMIA, COMPLEMENTATION GROUP C (OMIM:227645)"
"CACNG2 (10369)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 1... (OMIM:614256)"
"FANCD2 (2177)","FANCONI ANEMIA, COMPLEMENTATION GROUP D2 (OMIM:227646)"
"CITED2 (10370)","VENTRICULAR SEPTAL DEFECT 2 (OMIM:614431), ATRIAL SEPTAL DEFECT 8 (OMIM:614433)"
"FANCE (2178)","FANCONI ANEMIA, COMPLEMENTATION GROUP E (OMIM:600901)"
"ARL6 (84100)","BARDET-BIEDL SYNDROME 3 (OMIM:600151), RETINITIS PIGMENTOSA 55 (OMIM:613575)"
"ACSL4 (2182)","MENTAL RETARDATION, X-LINKED 63 (OMIM:300387)"
"FAH (2184)","TYROSINEMIA, TYPE I (OMIM:276700)"
"FANCB (2187)","FANCONI ANEMIA, COMPLEMENTATION GROUP B (OMIM:300514)"
"FANCF (2188)","FANCONI ANEMIA, COMPLEMENTATION GROUP F (OMIM:603467)"
"FANCG (2189)","FANCONI ANEMIA, COMPLEMENTATION GROUP G (OMIM:614082)"
"TUBB3 (10381)","CORTICAL DYSPLASIA, COMPLEX, WITH OTHER ... (OMIM:614039), FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENI... (OMIM:600638)"
"TUBB4A (10382)","DYSTONIA 4, TORSION, AUTOSOMAL DOMINANT (OMIM:128101), LEUKODYSTROPHY, HYPOMYELINATING, 6 (OMIM:612438)"
"FBLN1 (2192)","SYNPOLYDACTYLY 2 (OMIM:608180)"
"FBN1 (2200)","STIFF SKIN SYNDROME (OMIM:184900), GELEOPHYSIC DYSPLASIA 2 (OMIM:614185), MARFAN SYNDROME (OMIM:154700), WEILL-MARCHESANI SYNDROME, AUTOSOMAL DOM... (OMIM:608328), ACROMICRIC DYSPLASIA (OMIM:102370), ECTOPIA LENTIS, ISOLATED (OMIM:129600), MASS SYNDROME (OMIM:604308)"
"FBN2 (2201)","MACULAR DEGENERATION, EARLY-ONSET (OMIM:616118), ARTHROGRYPOSIS, DISTAL, TYPE 9 (OMIM:121050)"
"EFEMP1 (2202)","DOYNE HONEYCOMB RETINAL DYSTROPHY (OMIM:126600)"
"DLC1 (10395)","COLORECTAL CANCER (OMIM:114500)"
"FBP1 (2203)","FRUCTOSE-1,6-BISPHOSPHATASE DEFICIENCY (OMIM:229700)"
